league_id,region,region_flag,region_url,league,league_crest,league_url,date_updated,last_updated,other_names,abbreviations,search_terms
EUROPE_EUROPA_LEAGUE,EUROPE,Unknown,,Europa League,Unknown,https://www.flashscore.com/football/europe/europa-league/,26.02.2026,2026-02-26T13:42:22.964271+00:00,[],[],[]
EUROPE_CONFERENCE_LEAGUE,EUROPE,Unknown,,Conference League,Unknown,https://www.flashscore.com/football/europe/conference-league/,26.02.2026,2026-02-26T13:42:22.964271+00:00,[],[],[]
SOUTH_AMERICA_COPA_LIBERTADORES,SOUTH AMERICA,Unknown,,Copa Libertadores,Unknown,https://www.flashscore.com/football/south-america/copa-libertadores/,26.02.2026,2026-02-26T13:42:22.964271+00:00,[],[],[]
ALGERIA_LIGUE_1,ALGERIA,Unknown,,Ligue 1,Unknown,https://www.flashscore.com/football/algeria/ligue-1/,26.02.2026,2026-02-26T13:42:22.964271+00:00,[],[],[]
ARGENTINA_LIGA_PROFESIONAL,ARGENTINA,Unknown,,Liga Profesional,Unknown,https://www.flashscore.com/football/argentina/liga-profesional/,26.02.2026,2026-02-26T13:42:22.964271+00:00,[],[],[]
BRAZIL_SERIE_A_BETANO,BRAZIL,Unknown,,Serie A Betano,Unknown,https://www.flashscore.com/football/brazil/serie-a-betano/,26.02.2026,2026-02-26T13:42:22.964271+00:00,[],[],[]
BRAZIL_CARIOCA,BRAZIL,Unknown,,Carioca,Unknown,https://www.flashscore.com/football/brazil/carioca/,26.02.2026,2026-02-26T13:42:22.964271+00:00,[],[],[]
BRAZIL_CATARINENSE,BRAZIL,Unknown,,Catarinense,Unknown,https://www.flashscore.com/football/brazil/catarinense/,26.02.2026,2026-02-26T13:42:22.964271+00:00,[],[],[]
BRAZIL_CEARENSE,BRAZIL,Unknown,,Cearense,Unknown,https://www.flashscore.com/football/brazil/cearense/,26.02.2026,2026-02-26T13:42:22.964271+00:00,[],[],[]
BRAZIL_PAULISTA_A3,BRAZIL,Unknown,,Paulista A3,Unknown,https://www.flashscore.com/football/brazil/paulista-a3/,26.02.2026,2026-02-26T13:42:22.964271+00:00,[],[],[]
BRAZIL_COPA_DO_BRASIL_U17,BRAZIL,Unknown,,Copa do Brasil U17,Unknown,https://www.flashscore.com/football/brazil/copa-do-brasil-u17/,26.02.2026,2026-02-26T13:42:22.964271+00:00,[],[],[]
BRAZIL_BRASILEIRO_U20,BRAZIL,Unknown,,Brasileiro U20,Unknown,https://www.flashscore.com/football/brazil/brasileiro-u20/,26.02.2026,2026-02-26T13:42:22.964271+00:00,[],[],[]
CAMEROON_ELITE_ONE,CAMEROON,Unknown,,Elite One,Unknown,https://www.flashscore.com/football/cameroon/elite-one/,26.02.2026,2026-02-26T13:42:22.964271+00:00,[],[],[]
CAMEROON_SUPER_CUP,CAMEROON,Unknown,,Super Cup,Unknown,https://www.flashscore.com/football/cameroon/super-cup/,26.02.2026,2026-02-26T13:42:22.964271+00:00,[],[],[]
CHAD_PREMIERE_DIVISION,CHAD,Unknown,,Premiere Division,Unknown,https://www.flashscore.com/football/chad/premiere-division/,26.02.2026,2026-02-26T13:42:22.964271+00:00,[],[],[]
COLOMBIA_PRIMERA_B,COLOMBIA,Unknown,,Primera B,Unknown,https://www.flashscore.com/football/colombia/primera-b/,26.02.2026,2026-02-26T13:42:22.964271+00:00,[],[],[]
COSTA_RICA_LIGA_DE_ASCENSO,COSTA RICA,Unknown,,Liga de Ascenso,Unknown,https://www.flashscore.com/football/costa-rica/liga-de-ascenso/,26.02.2026,2026-02-26T13:42:22.964271+00:00,[],[],[]
DR_CONGO_LIGUE_1,DR CONGO,Unknown,,Ligue 1,Unknown,https://www.flashscore.com/football/dr-congo/ligue-1/,26.02.2026,2026-02-26T13:42:22.964271+00:00,[],[],[]
EGYPT_DIVISION_2_A,EGYPT,Unknown,,Division 2 A,Unknown,https://www.flashscore.com/football/egypt/division-2-a/,26.02.2026,2026-02-26T13:42:22.964271+00:00,[],[],[]
EL_SALVADOR_COPA_PRESIDENTE,EL SALVADOR,Unknown,,Copa Presidente,Unknown,https://www.flashscore.com/football/el-salvador/copa-presidente/,26.02.2026,2026-02-26T13:42:22.964271+00:00,[],[],[]
ETHIOPIA_PREMIER_LEAGUE,ETHIOPIA,Unknown,,Premier League,Unknown,https://www.flashscore.com/football/ethiopia/premier-league/,26.02.2026,2026-02-26T13:42:22.964271+00:00,[],[],[]
GUATEMALA_LIGA_NACIONAL,GUATEMALA,Unknown,,Liga Nacional,Unknown,https://www.flashscore.com/football/guatemala/liga-nacional/,26.02.2026,2026-02-26T13:42:22.964271+00:00,[],[],[]
GUINEA_LIGUE_1,GUINEA,Unknown,,Ligue 1,Unknown,https://www.flashscore.com/football/guinea/ligue-1/,26.02.2026,2026-02-26T13:42:22.964271+00:00,[],[],[]
ICELAND_LEAGUE_CUP,ICELAND,Unknown,,League Cup,Unknown,https://www.flashscore.com/football/iceland/league-cup/,26.02.2026,2026-02-26T13:42:22.964271+00:00,[],[],[]
INDIA___ISL,INDIA,Unknown,,ISL,Unknown,https://www.flashscore.com/isl/,26.02.2026,2026-02-26T13:42:22.964271+00:00,[],[],[]
IRAN_PERSIAN_GULF_PRO_LEAGUE,IRAN,Unknown,,Persian Gulf Pro League,Unknown,https://www.flashscore.com/football/iran/persian-gulf-pro-league/,26.02.2026,2026-02-26T13:42:22.964271+00:00,[],[],[]
IRAQ_STARS_LEAGUE,IRAQ,Unknown,,Stars League,Unknown,https://www.flashscore.com/football/iraq/stars-league/,26.02.2026,2026-02-26T13:42:22.964271+00:00,[],[],[]
ISRAEL_LIGA_ALEF_NORTH,ISRAEL,Unknown,,Liga Alef North,Unknown,https://www.flashscore.com/football/israel/liga-alef-north/,26.02.2026,2026-02-26T13:42:22.964271+00:00,[],[],[]
ISRAEL_LIGA_ALEF_SOUTH,ISRAEL,Unknown,,Liga Alef South,Unknown,https://www.flashscore.com/football/israel/liga-alef-south/,26.02.2026,2026-02-26T13:42:22.964271+00:00,[],[],[]
JORDAN_PREMIER_LEAGUE,JORDAN,Unknown,,Premier League,Unknown,https://www.flashscore.com/football/jordan/premier-league/,26.02.2026,2026-02-26T13:42:22.964271+00:00,[],[],[]
LIBYA_PREMIER_LEAGUE,LIBYA,Unknown,,Premier League,Unknown,https://www.flashscore.com/football/libya/premier-league/,26.02.2026,2026-02-26T13:42:22.964271+00:00,[],[],[]
MAURITIUS_SUPER_LEAGUE,MAURITIUS,Unknown,,Super League,Unknown,https://www.flashscore.com/football/mauritius/super-league/,26.02.2026,2026-02-26T13:42:22.964271+00:00,[],[],[]
